IDLabelStudio,N,sector,unidadSocial,machoAlfa,machoAlfaMerto,machosOtros,hembras,lactantes,destetadas,totalElefanteVivos,lMuertasRec,lMuertasInterm,otrosMachosMuertos,hembrasMuertas,destetadosMuertos,totalCriasMuertas,totalElefantesMuertos,lobosMuertos,gaviotas,residuosTotales,latitud,longitud,,residuosTotalesCajonesYOtros),gaviotas,totalElefanteVivos,totalElefantesMuertos,lobosMuertos
77969832,1370,sur,S,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-42.766834,-63.635367,,0,0,2,0,0
77969830,1372,sur,H1,1,0,1,4,2,1,9,0,0,0,0,0,0,0,1,3,0,-42.765483,-63.63407,,0,3,9,0,1
77969830,1372,sur,S,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-42.765483,-63.63407,,0,0,1,0,0
77969828,1374,sur,H1,1,0,0,78,53,6,138,6,4,0,0,0,10,10,0,46,0,-42.764166,-63.632899,,0,46,138,10,0
77969827,1375,sur,GH,3,0,3,137,73,6,222,29,7,0,0,0,36,36,0,35,0,-42.762585,-63.633239,,0,35,222,36,0
77969826,1376,sur,H1,1,0,1,25,15,0,42,3,0,0,0,0,3,3,0,5,0,-42.760396,-63.632324,,0,5,42,3,0
77969825,1377,sur,H1,1,0,1,27,11,1,41,8,1,0,0,0,9,9,1,8,0,-42.759213,-63.631031,,0,8,41,9,1
77969819,1379,sur,GH,3,0,3,115,59,3,183,99,17,0,0,2,118,118,4,88,0,-42.75719,-63.630047,,0,88,183,118,4
77969818,1380,sur,S,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-42.757485,-63.629644,,0,0,2,0,0
77969817,1381,sur,H1,1,0,0,17,7,0,25,6,7,0,0,0,13,13,0,0,0,-42.756185,-63.630502,,0,0,25,13,0
