timestamp,significant_wave_height_spotter,wind_speed_spotter,bottom_temperature_spotter,top_temperature_spotter
2023-01-27T09:48:00.000Z,,,14.14,14.240000000000002
2023-01-27T10:08:00.000Z,,,14.18,14.280000000000001
2023-01-27T10:28:00.000Z,,,14.300000000000004,14.46
2023-01-27T10:38:00.000Z,0.32,0,,
2023-01-27T10:48:00.000Z,,,14.380000000000003,14.68
2023-01-27T11:08:00.000Z,0.29,0,14.420000000000002,14.759999999999998
2023-01-27T11:28:00.000Z,,,14.32,14.780000000000001
2023-01-27T11:48:00.000Z,,,14.5,15.04
2023-01-27T12:08:00.000Z,,,14.64,15.119999999999997
2023-01-27T12:28:00.000Z,,,14.719999999999999,15.18
2023-01-27T12:38:00.000Z,0.27,0.4,,
2023-01-27T12:48:00.000Z,,,14.740000000000002,15.340000000000003
2023-01-27T13:08:00.000Z,0.28,0.8,14.82,15.380000000000003
2023-01-27T13:28:00.000Z,,,14.880000000000003,15.380000000000003
2023-01-27T13:48:00.000Z,,,14.920000000000002,15.480000000000004
2023-01-27T14:08:00.000Z,,,14.899999999999999,15.54
2023-01-27T14:28:00.000Z,,,15,15.619999999999997
2023-01-27T14:38:00.000Z,0.24,0.4,,
2023-01-27T14:48:00.000Z,,,15.119999999999997,15.660000000000004
2023-01-27T15:08:00.000Z,0.24,0.4,15.18,15.740000000000002
2023-01-27T15:28:00.000Z,,,15.340000000000003,15.780000000000001
2023-01-27T15:48:00.000Z,,,15.399999999999999,15.740000000000002
2023-01-27T16:08:00.000Z,,,15.439999999999998,15.619999999999997
2023-01-27T16:28:00.000Z,,,15.5,15.64
2023-01-27T16:38:00.000Z,0.21,0.4,,
2023-01-27T16:48:00.000Z,,,15.399999999999999,15.54
2023-01-27T17:08:00.000Z,0.22,0.4,15.280000000000001,15.420000000000002
2023-01-27T17:28:00.000Z,,,15.300000000000004,15.439999999999998
2023-01-27T17:48:00.000Z,,,15.32,15.439999999999998
2023-01-27T18:08:00.000Z,,,15.300000000000004,15.5
2023-01-27T18:28:00.000Z,,,15.32,15.700000000000003
2023-01-27T18:38:00.000Z,0.16,0.4,,
2023-01-27T18:48:00.000Z,,,15.300000000000004,15.759999999999998
2023-01-27T19:08:00.000Z,0.18,0,15.14,15.660000000000004
2023-01-27T19:28:00.000Z,,,15.119999999999997,15.600000000000001
2023-01-27T19:48:00.000Z,,,15.020000000000003,15.64
2023-01-27T20:08:00.000Z,,,14.939999999999998,15.600000000000001
2023-01-27T20:28:00.000Z,,,14.840000000000003,15.560000000000002
2023-01-27T20:38:00.000Z,0.23,4.8,,
2023-01-27T20:48:00.000Z,,,14.700000000000003,15.399999999999999
2023-01-27T21:08:00.000Z,0.25,3.6,14.579999999999998,15.219999999999999
2023-01-27T21:28:00.000Z,,,14.600000000000001,15.079999999999998
2023-01-27T21:48:00.000Z,,,14.54,14.899999999999999
2023-01-28T00:08:00.000Z,,,15,15.240000000000002
2023-01-28T00:28:00.000Z,,,15,15.240000000000002
2023-01-28T00:38:00.000Z,0.2,2,,
2023-01-28T00:48:00.000Z,,,15.100000000000001,15.300000000000004
2023-01-28T01:08:00.000Z,0.21,0,15.14,15.36
2023-01-28T01:28:00.000Z,,,15.160000000000004,15.340000000000003
2023-01-28T01:48:00.000Z,,,15.160000000000004,15.340000000000003
2023-01-28T02:08:00.000Z,,,15.160000000000004,15.380000000000003
2023-01-28T02:28:00.000Z,,,15.14,15.380000000000003
2023-01-28T02:38:00.000Z,0.29,0.4,,
2023-01-28T02:48:00.000Z,,,15.200000000000003,15.380000000000003
2023-01-28T03:08:00.000Z,0.29,0.4,15.219999999999999,15.420000000000002
2023-01-28T03:28:00.000Z,,,15.240000000000002,15.420000000000002
2023-01-28T03:48:00.000Z,,,15.240000000000002,15.439999999999998
2023-01-28T04:08:00.000Z,,,15.280000000000001,15.399999999999999
2023-01-28T04:28:00.000Z,,,15.18,15.280000000000001
2023-01-28T04:38:00.000Z,0.22,0.4,,
2023-01-28T04:48:00.000Z,,,15.100000000000001,15.18
2023-01-28T05:08:00.000Z,0.22,0.4,15.020000000000003,15.119999999999997
2023-01-28T05:28:00.000Z,,,15.020000000000003,15.100000000000001
2023-01-28T05:48:00.000Z,,,15,15.100000000000001
2023-01-28T06:08:00.000Z,,,15,15.079999999999998
2023-01-28T06:28:00.000Z,,,14.980000000000004,15.060000000000002
2023-01-28T06:38:00.000Z,0.14,0.8,,
2023-01-28T06:48:00.000Z,,,14.980000000000004,15.060000000000002
2023-01-28T07:08:00.000Z,0.16,0,14.980000000000004,15.060000000000002
2023-01-28T07:28:00.000Z,,,14.980000000000004,15.060000000000002
2023-01-28T07:48:00.000Z,,,14.939999999999998,15.060000000000002
2023-01-28T08:08:00.000Z,,,14.82,15.020000000000003
2023-01-28T08:28:00.000Z,,,14.759999999999998,14.96
2023-01-28T08:38:00.000Z,0.17,0,,
2023-01-28T08:48:00.000Z,,,14.68,14.800000000000004
2023-01-28T09:08:00.000Z,0.2,0,14.719999999999999,14.920000000000002
2023-01-28T09:28:00.000Z,,,14.579999999999998,14.740000000000002
2023-01-28T09:48:00.000Z,,,14.600000000000001,14.700000000000003
2023-01-28T10:08:00.000Z,,,14.579999999999998,14.68
2023-01-28T10:28:00.000Z,,,14.579999999999998,14.68
2023-01-28T10:38:00.000Z,0.2,0,,
2023-01-28T10:48:00.000Z,,,14.600000000000001,14.700000000000003
2023-01-28T11:08:00.000Z,0.2,0,14.619999999999997,14.719999999999999
